,,,MAPE Performance Comparison,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CPU-TA < baseline,CPU-TA <> baseline,baseline < CPU-TA,,,,,,,,,,,,,,,,,,,,,,,,,
Prediction Group,Scenarios,Win (p<0.05),Tie (p>0.05),Loss (p<0.05),Error Range,,,,,,,,,,,,,,,,,,,,,,,,
CPU,74,20,40,14,1% to 4%,,,,,,,,,,,,,,,,,,,,,,,,
Memory,96,37,44,15,1.5% to 5%,,,,,,,,,,,,,,,,,,,,,,,,
AWS to IBM,24,8,9,7,3% to 8%,,,,,,,,,,,,,,,,,,,,,,,,
IBM,254,84,91,79,7% to 17%,,,,,,,,,,,,,,,,,,,,,,,,
Sysbench,33,0,0,33,20% to 30%,,,,,,,,,,,,,,,,,,,,,,,,
Firecracker,90,32,37,21,2% to 6%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic AWS CPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,process,workload,MAPE,SAPE,sDF,tDF,sSTDEV,tSTDEV,sAverage,tAverage,sCV,tCV,sUser,sIdle,sKern,tUser,tIdle,tKern,sLTAMape,tLTAMape,wassersteinDistance,minMape,minWasserstein,meanOffset,stdOffset,tStat,pValue,tStatTarget,pValueTarget
X2GB_v2->X2GB_v4,RegressionRuntime,SCNMT2,1.37,405.52,296,626,490.185,501.646,2347.017,2382.495,0.209,0.211,0.573,0.426,0.001,0.525,0.475,0.001,0.288,0.38,31.075,0.555,12.141,22.08,29.073,-0.067,0.81,-0.136,0.494
X256MB_v2_13->X256MB_v4_13,RegressionRuntime,SCMT2,5.158,2950.376,572,169,24706.787,12265.123,91932.035,52176.704,0.269,0.235,0.947,0.051,0.001,0.982,0.017,0.001,0.123,0.288,2794.214,2.922,1472.223,2452.928,1318.212,-1.577,0.199,-1.241,0.302
X2GB_v2->X2GB_v3,Forest,SCNMT2,4.938,1461.648,296,174,490.185,518.881,2347.017,2484.793,0.209,0.209,0.573,0.426,0.001,0.524,0.475,0.001,0.288,0.375,116.288,3.484,79.706,110.221,30.266,-0.801,0.32,-0.659,0.283
X2GB_v3->X2GB_v4,ForestRuntime,SCMT2,2.238,393.888,176,627,1285.88,1561.81,6264.006,7251.45,0.205,0.215,0.525,0.474,0.001,0.524,0.475,0.001,0.538,0.554,165.843,1.723,113.746,157.753,69.258,-0.202,0.661,-0.367,0.521
X256MB_v2_13->X256MB_v3_13,ForestRuntime,SCMT2,3.878,2218.216,572,143,24706.787,10583.307,91932.035,49079.021,0.269,0.216,0.947,0.051,0.001,0.982,0.017,0.001,0.123,0.293,1855.969,2.723,1283.869,793.072,1831.134,-0.291,0.517,-0.784,0.491
X256MB_v2_13->X256MB_v4_13,ForestRuntime,SCMT2,5.181,2963.532,572,169,24706.787,12265.123,91932.035,52176.704,0.269,0.235,0.947,0.051,0.001,0.982,0.017,0.001,0.123,0.288,2803.908,2.947,1492.072,2460.382,1315.234,-1.6,0.201,-1.255,0.303
X2GB_v2->X2GB_v4,Regression,SCNMT2,1.675,495.8,296,626,490.185,501.646,2347.017,2382.495,0.209,0.211,0.573,0.426,0.001,0.525,0.475,0.001,0.288,0.38,37.335,0.769,15.428,28.044,29.989,-0.177,0.76,-0.262,0.527
X2GB_v3->X2GB_v4,Forest,SCNMT2,3.479,605.346,174,626,518.881,501.646,2484.793,2382.495,0.209,0.211,0.524,0.475,0.001,0.525,0.475,0.001,0.375,0.38,82.693,2.675,62.861,72.021,22.942,0.296,0.542,0.403,0.314
X256MB_v2_13->X256MB_v4_13,Forest,SCNMT2,3.745,2142.14,572,169,4251.172,3778.553,19986.962,15922.669,0.213,0.237,0.944,0.055,0.001,0.98,0.019,0.002,0.262,0.306,594.5,1.849,256.054,503.074,212.361,-1.086,0.379,-0.186,0.72
X2GB_v2->X2GB_v4,ForestRuntime,SCNMT2,1.457,431.272,296,626,490.185,501.646,2347.017,2382.495,0.209,0.211,0.573,0.426,0.001,0.525,0.475,0.001,0.288,0.38,32.824,0.668,14.125,23.632,30.58,-0.089,0.797,-0.161,0.502
X256MB_v2_13->X256MB_v3_13,Forest,SCMT2,2.676,1292.508,483,52,21623.391,3575.907,88958.567,37353.923,0.243,0.096,0.948,0.051,0.001,0.982,0.016,0.002,0.073,0.103,975.107,1.931,734.965,667.269,281.547,0.537,0.286,-0.219,0.457
X512MB_v2_6->X512MB_v3_6,Forest,SCMT2,4.139,1730.102,418,66,10409.409,5054.061,42191.005,23374.773,0.247,0.216,0.901,0.098,0.001,0.956,0.043,0.001,0.218,0.175,966.164,2.151,519.074,625.69,665.803,0.209,0.42,-0.051,0.679
X2GB_v2->X2GB_v3,Forest,SCMT2,3.095,919.215,297,176,2035.06,1285.88,7770.481,6264.006,0.262,0.205,0.586,0.413,0.001,0.525,0.474,0.001,0.628,0.538,182.028,2.656,148.114,146.09,100.384,0.008,0.507,-0.651,0.522
X2GB_v2->X2GB_v4,RegressionRuntime,SCMT2,4.514,1340.658,297,627,2035.06,1561.81,7770.481,7251.45,0.262,0.215,0.586,0.413,0.001,0.524,0.475,0.001,0.628,0.554,318.391,3.321,254.822,295.908,168.661,-0.097,0.276,-1.016,0.143
X256MB_v2_13->X256MB_v4_13,Forest,SCMT2,1.893,914.319,483,78,21623.391,3554.637,88958.567,40555.962,0.243,0.088,0.948,0.051,0.001,0.982,0.016,0.002,0.073,0.104,754.896,1.435,591.733,432.59,405.474,0.219,0.339,0.083,0.602
X2GB_v3->X2GB_v4,Forest,SCMT2,2.302,405.152,176,626,1285.88,1562.957,6264.006,7252.155,0.205,0.216,0.525,0.474,0.001,0.524,0.476,0,0.538,0.533,165.047,1.683,89.608,112.972,66.057,-0.276,0.754,-0.411,0.614
X2GB_v2->X2GB_v4,ForestRuntime,SCMT2,4.501,1336.797,297,627,2035.06,1561.81,7770.481,7251.45,0.262,0.215,0.586,0.413,0.001,0.524,0.475,0.001,0.628,0.554,316.843,3.224,248.454,293.111,172.767,-0.12,0.277,-1.043,0.148
X1GB_v2_3->X1GB_v4_3,RegressionRuntime,SCNMT2,1.941,879.273,453,603,1067.476,839.464,4883.132,3983.71,0.219,0.211,0.893,0.105,0.001,0.945,0.054,0.001,0.226,0.202,81.976,1.113,42.51,62.597,58.311,-0.119,0.612,-0.162,0.556
X1GB_v2_3->X1GB_v4_3,Regression,SCNMT2,2.207,993.15,450,603,1070.744,839.464,4881.144,3983.71,0.219,0.211,0.893,0.106,0.001,0.945,0.054,0.001,0.198,0.202,91.433,1.089,44.877,59.284,75.016,-0.021,0.622,-0.029,0.642
X512MB_v2_6->X512MB_v4_6,ForestRuntime,SCNMT2,2.652,1225.224,462,528,2051.422,1666.567,9686.396,7873.013,0.212,0.212,0.895,0.104,0.001,0.954,0.045,0.001,0.208,0.178,213.982,1.526,119.846,188.001,82.219,-0.321,0.462,-0.148,0.575
X2GB_v2->X2GB_v4,Regression,SCMT2,4.096,1216.512,297,626,2035.06,1562.957,7770.481,7252.155,0.262,0.216,0.586,0.413,0.001,0.524,0.476,0,0.628,0.533,286.509,2.971,198.693,247.69,192.964,-0.23,0.36,-1.022,0.31
X2GB_v2->X2GB_v4,Forest,SCNMT2,1.732,512.672,296,626,490.185,501.646,2347.017,2382.495,0.209,0.211,0.573,0.426,0.001,0.525,0.475,0.001,0.288,0.38,38.448,0.992,21.788,28.833,28.886,-0.19,0.752,-0.276,0.536
X512MB_v2_6->X512MB_v4_6,RegressionRuntime,SCMT2,2.827,1306.074,462,528,11837.439,5368.692,44088.041,25738.625,0.268,0.209,0.901,0.098,0.001,0.953,0.046,0.001,0.236,0.133,704.421,1.149,277.083,611.438,360.743,-0.281,0.464,-1.073,0.216
X512MB_v2_6->X512MB_v4_6,Regression,SCMT2,5.698,2381.764,418,528,10409.409,5368.692,42191.005,25738.625,0.247,0.209,0.901,0.098,0.001,0.953,0.046,0.001,0.218,0.133,1472.588,3.181,842.204,1289.315,925.365,-0.617,0.221,-0.979,0.214
X1GB_v2_3->X1GB_v4_3,ForestRuntime,SCNMT2,2.034,921.402,453,603,1067.476,839.464,4883.132,3983.71,0.219,0.211,0.893,0.105,0.001,0.945,0.054,0.001,0.226,0.202,85.678,1.198,46.373,63.088,57.372,-0.141,0.609,-0.186,0.553
X512MB_v2_6->X512MB_v4_6,ForestRuntime,SCMT2,2.87,1325.94,462,528,11837.439,5368.692,44088.041,25738.625,0.268,0.209,0.901,0.098,0.001,0.953,0.046,0.001,0.236,0.133,714.208,1.175,283.358,616.941,327.913,-0.305,0.454,-1.097,0.212
X512MB_v2_6->X512MB_v4_6,Regression,SCNMT2,2.595,1198.89,462,528,2051.422,1666.567,9686.396,7873.013,0.212,0.212,0.895,0.104,0.001,0.954,0.045,0.001,0.208,0.178,208.247,1.355,106.134,182.695,83.991,-0.285,0.48,-0.112,0.596
X512MB_v2_6->X512MB_v4_6,Forest,SCNMT2,2.632,1215.984,462,528,2051.422,1666.567,9686.396,7873.013,0.212,0.212,0.895,0.104,0.001,0.954,0.045,0.001,0.208,0.178,209.79,1.753,133.555,183.612,73.79,-0.323,0.471,-0.149,0.583
X1GB_v2_3->X1GB_v4_3,Regression,SCMT2,5.435,2429.445,447,603,5021.79,2811.068,19511.488,12946.665,0.257,0.217,0.898,0.101,0.001,0.943,0.056,0.001,0.216,0.165,730.777,2.681,360.278,716.282,299.289,-0.955,0.16,-1.817,0.037
X1GB_v2_3->X1GB_v4_3,ForestRuntime,SCMT2,3.395,1537.935,453,603,5131.426,2811.068,19650.735,12946.665,0.261,0.217,0.899,0.1,0.001,0.943,0.056,0.001,0.25,0.165,432.643,1.935,236.027,332.77,162.267,-0.213,0.478,-0.835,0.234
